project,related_file,category,evidence_type,reason
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/AIOS_Knowledge_Vault/case_library/CASE-06-PROPERTY-MASTER-DATABASE.md,property_intelligence,md,deployment
Property Intelligence,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/AIOS_Knowledge_Vault/indexes/AIOS_Knowledge_Vault_Source_Inventory.csv,property_intelligence,csv,inventory
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/AIOS_Knowledge_Vault/indexes/AIOS_Knowledge_Vault_Source_Inventory.csv,property_intelligence,csv,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/AIOS_Knowledge_Vault/indexes/AIOS_Knowledge_Vault_Index.xlsx,knowledge_base,xlsx,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Complete_Initial_Procedures_Data.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Green_Residency.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Sale_associated_with_initial_mortgage.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__All_Services.txt,validation_reporting,txt,deployment
Property Intelligence,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Sale_of_Mortgaged_Property.txt,property_intelligence,txt,property
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Sale_of_Mortgaged_Property.txt,property_intelligence,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RERA_Landing_Page.txt,validation_reporting,txt,deployment
WhatsApp Human Engine,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,gateway
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_registration_application.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Renewal_of_residency_permits.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Golden_Residency.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Residency_Visa.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Project_Registration_Oqood.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/NOC__Project_NOC_for_off_plan_registration.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_release_application.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Company_Registration_Application.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RVS_Complaint_Tracking.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_amendment_application.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Initial_Sale_Registration_Oqood.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Verify_License_and_Permits_Trakheesi.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Dubai_REST.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Transfer_Registration_Fees_Between_Properties.txt,property_intelligence,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Issuing_Residency_Permit.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Cancellation_of_residency_permits.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RVS_Complaint_Overview.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Issuance_of_a_Visa.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Amend_Initial_Procedures_Data.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_transfer_application.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/NOC__Developer_eNOC_freehold_transfer.txt,validation_reporting,txt,deployment
Property Intelligence,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Property_Sale_Registration.txt,property_intelligence,txt,property
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Property_Sale_Registration.txt,property_intelligence,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Tracking.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Release.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Overview.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Registration.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Approved_Real_Estate_Developers.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Real_Estate_Activity_License_Trakheesi.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Issuance_of_a_visit_visa.txt,general_aios,txt,deployment
AIOS Runtime,AIOS/deployment/hosted-backend/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Electronic_No_Objection_Certification_eNOC.txt,validation_reporting,txt,deployment
AIOS Runtime,AIOS/deployment/web-platform/index.html,knowledge_base,html,deployment
AIOS Runtime,AIOS/deployment/web-platform/vercel.json,knowledge_base,json,deployment
AIOS Runtime,AIOS/deployment/web-platform/AIOS-RUNTIME-STATUS.html,general_aios,html,"runtime, deployment"
AIOS Runtime,AIOS/deployment/web-platform/AIOS-WEBSITE.html,general_aios,html,deployment
AIOS Runtime,AIOS/deployment/web-platform/manifest.json,general_aios,json,deployment
AIOS Runtime,AIOS/deployment/web-platform/AIOS-DASHBOARD.html,general_aios,html,"dashboard, deployment"
AIOS Runtime,AIOS/deployment/web-platform/AIOS-MOBILE-APP.html,general_aios,html,deployment
AIOS Runtime,AIOS/deployment/web-platform/automation/central_orchestrator/reports/RUNTIME_STATUS_REALITY_AUDIT.json,validation_reporting,json,"runtime, deployment"
AIOS Runtime,AIOS/deployment/web-platform/automation/central_orchestrator/reports/RUNTIME_STATUS_REALITY_AUDIT.md,validation_reporting,md,"runtime, deployment"
AIOS Runtime,AIOS/deployment/native-readiness/pwa-to-native-plan.md,general_aios,md,deployment
AIOS Foundation,AIOS/deployment/native-readiness/privacy-policy-draft.md,property_intelligence,md,policy
AIOS Runtime,AIOS/deployment/native-readiness/privacy-policy-draft.md,property_intelligence,md,deployment
AIOS Runtime,AIOS/deployment/native-readiness/app-store-metadata.json,property_intelligence,json,deployment
WhatsApp Human Engine,AIOS/data/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,"whatsapp, gateway"
AIOS Runtime,AIOS/data/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,transport
WhatsApp Human Engine,AIOS/data/transport/simple_whatsapp_gateway.log.postrestart.jsonl,whatsapp_human_engine,jsonl,"whatsapp, gateway"
AIOS Runtime,AIOS/data/transport/simple_whatsapp_gateway.log.postrestart.jsonl,whatsapp_human_engine,jsonl,transport
WhatsApp Human Engine,AIOS/data/transport/simple_whatsapp_gateway.log.pretest.jsonl,whatsapp_human_engine,jsonl,"whatsapp, gateway"
AIOS Runtime,AIOS/data/transport/simple_whatsapp_gateway.log.pretest.jsonl,whatsapp_human_engine,jsonl,transport
WhatsApp Human Engine,AIOS/data/transport/whatsapp_relationship_store.json,nakheel_design_approval,json,"whatsapp, relationship"
AIOS Runtime,AIOS/data/transport/whatsapp_relationship_store.json,nakheel_design_approval,json,transport
AIOS Runtime,AIOS/data/transport/human_identity_events.jsonl,property_intelligence,jsonl,transport
AIOS Runtime,AIOS/data/transport/aios_runtime_state.sqlite,general_aios,sqlite,"runtime, transport"
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/AIOS_P1_P2_VALIDATION_20260623.md,property_intelligence,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/AIOS_P1_P2_VALIDATION_20260623.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/AIOS_P2_JID_PATCH_VALIDATION_20260623.json,whatsapp_human_engine,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/AIOS_P2_JID_PATCH_VALIDATION_20260623.md,whatsapp_human_engine,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/remaining_blocker_validation_20260623T173750Z.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/.tmp_identity_feedback/transport/human_identity_events.jsonl,property_intelligence,jsonl,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/.tmp_identity_feedback/transport/human_identity_events.jsonl,property_intelligence,jsonl,transport
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/outcome_learning_summary_report.md,validation_reporting,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/outcome_learning_verification_payload.json,general_aios,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/identity_feedback_summary_report.md,property_intelligence,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/verification_bundle_summary.json,whatsapp_human_engine,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175859Z/identity_feedback_verification_payload.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_verification_payload.json,whatsapp_human_engine,json,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_verification_payload.json,whatsapp_human_engine,json,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/outcome_learning_summary_report.md,validation_reporting,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/outcome_learning_verification_payload.json,general_aios,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/identity_feedback_summary_report.md,validation_reporting,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/unit_finder_verification_payload.json,property_intelligence,json,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/unit_finder_verification_payload.json,property_intelligence,json,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/verification_bundle_summary.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/identity_feedback_verification_payload.json,general_aios,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/verification_bundle_summary.md,property_intelligence,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/unit_finder_summary_report.md,property_intelligence,md,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175717Z/unit_finder_summary_report.md,property_intelligence,md,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/outcome_learning_summary_report.md,validation_reporting,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/outcome_learning_verification_payload.json,general_aios,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/identity_feedback_summary_report.md,property_intelligence,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/unit_finder_verification_payload.json,property_intelligence,json,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/unit_finder_verification_payload.json,property_intelligence,json,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/verification_bundle_summary.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/identity_feedback_verification_payload.json,property_intelligence,json,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/verification_bundle_summary.md,property_intelligence,md,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/unit_finder_summary_report.md,property_intelligence,md,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175924Z/unit_finder_summary_report.md,property_intelligence,md,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175512Z/unit_finder_verification_payload.json,property_intelligence,json,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175512Z/unit_finder_verification_payload.json,property_intelligence,json,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175512Z/unit_finder_summary_report.md,property_intelligence,md,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/evidence_led_20260623T175512Z/unit_finder_summary_report.md,property_intelligence,md,unit
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/.tmp_identity_feedback_runtime/transport/human_identity_events.jsonl,property_intelligence,jsonl,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/03_VALIDATION_REPORTS/proofs/.tmp_identity_feedback_runtime/transport/human_identity_events.jsonl,property_intelligence,jsonl,"runtime, transport"
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merge_index.csv,knowledge_base,csv,knowledge_control
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_073_aios_control_center/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__aios_control_center.py,validation_reporting,py,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_073_aios_control_center/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__aios_control_center.py,validation_reporting,py,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_042_ICP__Cancellation_of_residency_permits/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__ICP__Cancellation_of_residency_permits.txt,knowledge_base,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_042_ICP__Cancellation_of_residency_permits/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__ICP__Cancellation_of_residency_permits.txt,knowledge_base,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_066_Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669/Users__hassanka__Downloads__AIOS__KnowledgeBase__Raw__Reportage_Inventory__Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669.xlsx,property_intelligence,xlsx,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_066_Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669/Users__hassanka__Downloads__AIOS__KnowledgeBase__Raw__Reportage_Inventory__Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669.xlsx,property_intelligence,xlsx,inventory
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_049_Mortgages__Mortgage_amendment_application/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__Mortgages__Mortgage_amendment_application.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_049_Mortgages__Mortgage_amendment_application/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__Mortgages__Mortgage_amendment_application.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_069_Reportage_Inventory__Sylvana Availability__7d1436514b/Users__hassanka__Downloads__AIOS__KnowledgeBase__Raw__Reportage_Inventory__Reportage_Inventory__Sylvana Availability__7d1436514b.xlsx,property_intelligence,xlsx,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_069_Reportage_Inventory__Sylvana Availability__7d1436514b/Users__hassanka__Downloads__AIOS__KnowledgeBase__Raw__Reportage_Inventory__Reportage_Inventory__Sylvana Availability__7d1436514b.xlsx,property_intelligence,xlsx,inventory
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_050_Mortgages__Mortgage_registration_application/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__Mortgages__Mortgage_registration_application.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_050_Mortgages__Mortgage_registration_application/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__Mortgages__Mortgage_registration_application.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_020_DLD__Initial_Sale_Registration_Oqood/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Initial_Sale_Registration_Oqood.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_020_DLD__Initial_Sale_Registration_Oqood/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Initial_Sale_Registration_Oqood.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_026_DLD__RVS_Complaint_Tracking/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__RVS_Complaint_Tracking.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_026_DLD__RVS_Complaint_Tracking/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__RVS_Complaint_Tracking.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_022_DLD__Mortgage_Release/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Mortgage_Release.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_022_DLD__Mortgage_Release/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Mortgage_Release.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_014_DLD__Amend_Initial_Procedures_Data/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Amend_Initial_Procedures_Data.txt,validation_reporting,txt,knowledge_control
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_014_DLD__Amend_Initial_Procedures_Data/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__Amend_Initial_Procedures_Data.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_012_DLD__API_Gateway_Trakheesi_platform/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,knowledge_control
WhatsApp Human Engine,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_012_DLD__API_Gateway_Trakheesi_platform/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,gateway
AIOS Runtime,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_012_DLD__API_Gateway_Trakheesi_platform/Users__hassanka__Downloads__AIOS__deployment__hosted-backend__AIOS__KnowledgeBase__Operations_Corpus__text__DLD__API_Gateway_Trakheesi_platform.txt,validation_reporting,txt,deployment
AIOS Knowledge Control,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_081_unit_finder_summary_report/Users__hassanka__Downloads__AIOS__proofs__evidence_led_20260623T175924Z__unit_finder_summary_report.md,property_intelligence,md,knowledge_control
Property Intelligence,AIOS_KNOWLEDGE_CONTROL/10_ARCHIVE/duplicate_merges/group_081_unit_finder_summary_report/Users__hassanka__Downloads__AIOS__proofs__evidence_led_20260623T175924Z__unit_finder_summary_report.md,property_intelligence,md,unit
